dataset,model,metric,value
ett,LightGTS,GSP_warp,-0.06382454186677933
ett,LightGTS,FSS_spearman_h96_score,-0.9023982603715888
ett,LightGTS,PDS_spearman_mae_h96_score,-0.6769254978255893
ett,LightGTS,LTC_step,8.863380432128906
ett,LightGTS,LTC_dir,-0.312551349401474
ett,NeurIPS2023-One-Fits-All,LCS_clean,-0.06540995091199875
ett,NeurIPS2023-One-Fits-All,LCS_noise,-0.06540995091199875
ett,NeurIPS2023-One-Fits-All,LCS_mask,-0.06540995091199875
ett,NeurIPS2023-One-Fits-All,LCS_warp,0.0
ett,NeurIPS2023-One-Fits-All,TSI_noise,1.0
ett,NeurIPS2023-One-Fits-All,TSI_mask,1.0
ett,NeurIPS2023-One-Fits-All,TSI_warp,0.0
ett,NeurIPS2023-One-Fits-All,GSP_noise,0.0
ett,NeurIPS2023-One-Fits-All,GSP_mask,0.0
ett,NeurIPS2023-One-Fits-All,GSP_warp,-0.06540995091199875
ett,NeurIPS2023-One-Fits-All,FSS_spearman_h96_score,-0.9984989657830259
ett,NeurIPS2023-One-Fits-All,PDS_spearman_mae_h96_score,-0.042416742961776145
ett,NeurIPS2023-One-Fits-All,LTC_step,17.693370819091797
ett,NeurIPS2023-One-Fits-All,LTC_dir,-0.09187234938144684
ett,Sundial,LCS_clean,-0.08549291640520096
ett,Sundial,LCS_noise,-0.08549291640520096
ett,Sundial,LCS_mask,-0.08549291640520096
ett,Sundial,LCS_warp,0.0
ett,Sundial,TSI_noise,1.0
ett,Sundial,TSI_mask,1.0
ett,Sundial,TSI_warp,0.0
ett,Sundial,GSP_noise,0.0
ett,Sundial,GSP_mask,0.0
ett,Sundial,GSP_warp,-0.08549291640520096
ett,Sundial,FSS_spearman_h96_score,-0.6603176893186347
ett,Sundial,PDS_spearman_mae_h96_score,0.8638060769054703
ett,Sundial,LTC_step,2.9951090812683105
ett,Sundial,LTC_dir,-0.3376111686229706
ett,Time-MoE,LCS_clean,-0.08495227992534637
ett,Time-MoE,LCS_noise,-0.08495227992534637
ett,Time-MoE,LCS_mask,-0.08495227992534637
ett,Time-MoE,LCS_warp,0.0
ett,Time-MoE,TSI_noise,1.0
ett,Time-MoE,TSI_mask,1.0
ett,Time-MoE,TSI_warp,0.0
ett,Time-MoE,GSP_noise,0.0
ett,Time-MoE,GSP_mask,0.0
ett,Time-MoE,GSP_warp,-0.08495227992534637
ett,Time-MoE,FSS_spearman_h96_score,-0.20498761658772935
ett,Time-MoE,PDS_spearman_mae_h96_score,0.8175898374914167
ett,Time-MoE,LTC_step,4.086190223693848
ett,Time-MoE,LTC_dir,-0.17612916231155396
ett,UniTime,LCS_clean,-0.06156446784734726
ett,UniTime,LCS_noise,-0.06156446784734726
ett,UniTime,LCS_mask,-0.06156446784734726
ett,UniTime,LCS_warp,0.0
ett,UniTime,TSI_noise,1.0
ett,UniTime,TSI_mask,1.0
ett,UniTime,TSI_warp,0.0
ett,UniTime,GSP_noise,0.0
ett,UniTime,GSP_mask,0.0
ett,UniTime,GSP_warp,-0.06156446784734726
ett,UniTime,FSS_spearman_h96_score,-0.9901902428606035
ett,UniTime,PDS_spearman_mae_h96_score,-0.14764858728552735
ett,UniTime,LTC_step,28.904094696044922
ett,UniTime,LTC_dir,-0.16792601346969604
ett,VisionTS,LCS_clean,-0.17086701095104218
ett,VisionTS,LCS_noise,-0.17086701095104218
ett,VisionTS,LCS_mask,-0.17086701095104218
ett,VisionTS,LCS_warp,0.0
ett,VisionTS,TSI_noise,1.0
